"Technical Expertise
Domain
GUI Application Development/Testing 
(Desktop/Device)
Programming &amp; Scripting 
Language
Java, JNI, J2ME, C++, C# (Desktop/Device), 
VB, Install Shiel d Scripting ,C, Linux Shell 
Scripting, VC++(Win32,MFC,ATL,COM,CLR),
.Net Framework, .Net Compact Framework
Operating Systems Linux, VxWorks, Windows , WinCE,Palm OS
Keywords Automotive , HA, VoIP (H450.3) Development
Development/Productivity Tools
MS Visio,InstallShield 7.0,Smithproject 
( http://smithproject.org/ ) , GCC Tool Chain
Wireshark . 
DatabaseSQL Server 7.0, MS Access
IDE Vim, Microsoft Visual Studio 2008, Metrowerks 
Codewarrior , Eclipse ","""SKL""",""""""
"PROFILE SUMMARY
 2 3years  of  IT  experience  in gamut  of  activities  encompassing  Project  and  Program  Management, 
Requirements Management coupled with hands -on exposure in handling all phases of Project / Program 
Life  Cycle  from  requirement  analysis,  project  scoping,  planning  &amp;  scheduling  and  implementation  of 
technology solutions on - time, within budget and with quality.  
 Adept in providing post - implementation, application maintenance &amp; enhancement support with regard to 
systems, requirement gathering, system analysis &amp; finalization of technical specifications 
 Expertise in end - to - end implementation of various projects including designing, development, coding and 
implementation of software applications
Proficient in managing entire SDLC operations involving requirement gathering, development of functional 
specifications, costing &amp; budgeting, design &amp; development &amp; coordination with customer
 Acumen in steering management of key accounts, facilitating service delivery, Management of Service Desk 
and  Functional  Support,  Supervision  of  Technical  Maintenance  activities, delivery  of  quality  work  in 
compliance with the Service Level Agreement, SLA definition &amp; management ,Setup governance, Work Flow 
&amp;  Process,  Team  &amp;  Recruitment, Communication  and  collaboration  with  the  other  Service  Delivery 
groups/Hubs  (Central  Group  and  South  America  Group) ,requirement prioritization&amp;  creating  delivery 
roadmaps .
 Excellence inhandling Engagement Management, Process Management, Escalation Management, Process 
Compliance  and IT  Roadmap  Operations ;  knowledge  of  Project  Management,  Cost  Estimation,  Change 
Management, Resource Allocationand Writing Project Proposal. ISO and CMMi Procedures and Process es .
 Extensive cross functional skills in:
o Service  Delivery  Management – Project  Management, Team  Management, Customer Service
Management, SLA, Third party co - ordination, Report generation, Proposals, Contracts, Forecasting, 
Resource handling &amp; Costing C ontrol .
o E -Commerce   Systems,   School   Management   System,   Warehouse   Management   System, 
Campaign Management System and Hotel Management System .
oInsurance – Quotation  System,  Financial  Planning,  Contact  Management  &amp;  CPF  Projection  Cash 
Flow System
oManufacturing – Inventory Control System, Sales Order System, Material Tracking System
o CMS - DrupalInstallation,  configuration,  tweaking  modules  like  CCK,  Views, Web  forms,  Menu 
attributes,Adobe Experience Manager (CQ5) – Content, Management &amp; Back office administration. 
oTechnical Knowledge .NET, PHP, Java, Delphi, Crystal Reports, Email marketing, and Databases.
oQuality Control: Test Case creation, System Integration Testing and deployment Procedures
oTechnical Training – Conducted technical classes &amp; Workshop for university students,Training for 
staff &amp; End users.
o Basic Knowledge of SEO (Search Engine Optimization) ","""SKL""",""""""
"STRENGTHS 
~ Provide Structure, Direction &amp; Vision~ Project Evangelist &amp; Team Builder
~ Research &amp; Strategic Analysis~ Critical Thinker &amp; Problem Solver
~ Risk and Contingency Support~ Customer Centric&amp; Service Delivery Support ","""SKL""",""""""
"KEY RESULT AREA
- Project Management - Business Intelligence - Service Delivery Management
- Pre - Sales Initiatives - Key Account Management -Effort &amp; Cost Estimation
-Risk &amp; Issue Management -Infrastructure Management -Stakeholder Management 
- Technology Design &amp; Architecture - Transition Management - Requirement Management
- Documentation/ MIS - Procurement Functions - Team Building
 Implementing project plans in budgets &amp; time, negotiating SLAs for business transformation projects  
Handling the daily operations to ensure that the network and the infrastructure are up &amp; running and as a 
whole provides a high degree of reliability and availably 
Assessing  system  capabilities,  identifying  limitations,  evaluating  and  recommending  new  hardware  / 
software solutions to meet business needs 
Analyzing user requirements and statistics to identify trends and resolve performance issues, ensuring SLA 
&amp; process compliance &amp; high customer satisfaction to achieve more business 
Managing  large  scale  projects  /  programs  of  varying  complexity  and  leading  programs  at  customer  site 
resulting in achieving high customer satisfaction  
 Heading projects to deliver aheadof time with high quality &amp; earned bonuses from the customer; defining 
governance structure, best practices for project support and documentation  
Planning project activities viz. scoping, estimation, tracking, change management, delivery management &amp; 
post implementation support  
Service   Delivery   Management,   Technical   Maintenance,   Setup   Governance,   Process   Workflow   &amp; 
communication &amp; Collaboration.
Monitoring offshore delivery management for technical deliverables of concurrent projects  
Understanding client needs requirements, and expectations and devising solutions accordingly ","""SKL""",""""""
"Languages
Spanish
French
English
German
Thai","""SKL""","""Languages"""
"Skills
PROFESSIONAL
Microsoft Office
Statistical Software
Decisions Program
Oracle
CRM
Web skills","""SKL""","""Skills"""
"PERSONAL
Organized Broad-minded
Responsible Motivated
Communication skills Team working
Commited Decision making
Hardworking Determined","""SKL""","""PERSONAL"""
"SKILLS
Top- rated sales management
Account management
Operations analysis
Client development 
Product development
Sales management
Competitive analysis
Staff training
Consumer behaviour  
Brand awareness
Researched sales lead 
Excellent work ethic
Team building expertise 
Talented multi-tasker
Exceptional interpersonal skills 
Goal - oriented 
Change management
Negotiation skills
Communication skills
Proficiency with Microsoft Office, CRM and SAP systems
Professional proficiency in English, Mandarin Chinese and
Vietnamese ","""SKL""","""SKILLS"""
"Language 
Fluent in Dutch, English and Hindi. Conversational level in Japanese and German ","""SKL""",""""""
"Skills
Programing: C/C++, Java, Fortran, Mathematica .
Document Processing: LATEX
Education: Tutoring intermediate and highschool students
Musics: Solo Classical Guitar","""SKL""","""Skills"""
"COMPUTER SKILLS
Scrum/Agile
Microsoft Office: Excellent
Microsoft Access: Excellent
C/C++: Good
UML Rational Rose: Good
UNIX: Excellent (awk, sed and k-shell scripting inclusive).
SQLServer 7.0: Excellent
Oracle: Good
HTML: Good
XML: Excellent
Excellent knowledge of several testing methodologies","""SKL""",""""""
"Skills
Pre  Sales,  Requirement  gathering, Product management,  Functional  Testing  ,  Project  planning  ,  User  Acceptance 
testing, Implementation , Test Cases , Business analysis , Vendor management, Stakeholder management, 
Proficient in MS SQL Server 2008. MS Project , MS Visio, Balsamiq, JAMA, JIRA, MS Office 2010.","""SKL""","""Skills"""
"AREAS OF EXPERTISE

Project methodologies:
 Project initiation
 Project planning
 Project execution
 Project control
 Project closing
 Project tracking/
 reporting
 Project communications
 SMART methodology

Achievable development 
plans &amp; schedules

Business assessment

Scope/requirements 
definition

Analysis of business 
problems/needs

Full lifecycle 
development

Quality-assurance 
strategy/process

Internal and external 
client/customer service and 
support

Business process 
reengineering

Process 
change/improvement

Needs analysis

Tactical/strategic planning

Quality risk

Critical thinking

Performance management

Change management

Technology integration

Conflict management

Problem solving

Decision making

Negotiation, persuasion and 
Communication

Cross-functional team 
building and leadership

Coaching/mentoring","""SKL""",""""""
"Soft Skills: 

Customer focus. 

Accurate keyboarding skills. 

Strong interpersonal and telephone skills. 

Ability to troubleshoot and resolve problems in a systematic and logical manner. 

Maintain good communications with all relevant parties throughout troubleshooting process. 

High level of initiative and extremely motivated.

Demonstrate keen interest in continuous learning and professional development. 

Ability to multi-task and prioritize assigned tasks, problems and requests. 

Ability  to  collaborate  and  cooperate  with  other  members  of  team,  and  members  of  other 
teams. 

Ability  to  identify  problems  and  issues  (technical,  process,  people,  etc.)  encountered  and 
highlight to team leads and managers. 

Ability  to  understand  written  instructions.  Excellent  interpersonal  skills,  able  to  work  in  a 
team and independently if necessary. 

Ability to work in a high pressure environment.","""SKL""",""""""
"Technical Writing:
From my working experience in the capacity of a team leader in Freenet Business Solutions Sdn Bhd 
till my current post, I have developed my technical writing skills in preparing documentation, reports, 
training guides, MPr , RCaas well as business proposals. 
Language Proficiency: English, Malay, Tamil and Malayalam","""SKL""",""""""
"SKILLS
DEVELOPMENT
HTML, CSS, JavaScript
OOJ, Angular JS, JQuery,
Ajax, JSON, Bootstrap and
Foundation. Sass, GIT,
Node.js, Grunt, Gulp,Bower, REST
API, Java, JSP, Servlets,
MySQL, MongoDB, Maven
Data Structures
Algorithms,
Agile Development
TOOLS
Eclipse, Tomcat,
xampp/ lamp
Adobe Photoshop
LINKS
LinkedIn:
https://in.linkedin.com/in/ankit-arora-86a7b237
GitHub: 
https://github.com/ankitarora05","""SKL""",""""""
"Language
English
IELTS (General) 2016 - 7
Malayalam
Hindi
Tamil","""SKL""","""Language"""
"Skills
Operations

Business Research

Customer Service

Professional Training

Management

Negotiation

Reporting & Analysis

Presentation

CRM

Communication

People Management

Strategic Planning","""SKL""","""Skills"""
"Profile:
Results-driven Plant   Operation   and   Quality   Professional with   wide-ranging   experience   planning   and   leading 
operations  involving  small- to  medium-sized  manufacturing  environments.  Devising,  evaluating,  and  implementing 
continuous  process  improvements  to  minimize  waste  and  reduce  costs  while  maximizing  quality  and  yield.  Establish 
effective  quality  control  and  safety  programs,  encouraging  proactive  participation  across  the  manufacturing  floor. 
Excellent communicator, focused successful team building on objectives, safety, and throughput.","""SKL""","""Profile:"""
"Core Competence:
Manufacturing, Quality  Assurance, Results-driven Plant  Operation, Minimizing waste  and costs, Line  Balancing,
Maximizing quality   and   yield, establishing   effective   quality and   safety   programs, Management Consulting, 
Management System Audit, Productivity improvement, Setting Production Targets, Devising Incentive Scheme, Process 
Improvement, Developing and  implementing Management  System (QMS,  EMS,  OHSAS), Supplier  Development, 
Inventory Management, Resource Planning, Sourcing and negotiation, Relationship Management and Training ","""SKL""","""Core Competence:"""
"Profile Summary
A   goal-oriented   professional   with nearly 17 years of organizational   experience   in Software   Development, 
Administration, Vendor Management, Budgeting and with 6 months of entrepreneurial experience
Forward-focused Delivery Manager with expertise in concepts of end-to-end project planning and implementation
from scope management, to activity sequencing, effort & cost estimation, risk analysis to quality management in line 
with guidelines and norms
Problem  solver with  a passion  for  technology;  skilled  in  grasping  the  big  picture, conceptualizing,  developing, 
implementing solutions & partnering closely with business leaders & stakeholders
IT support management professional - envisioning usage of new technology and tailoring its usage for achieving 
desired results
High  integrity  &  energetic  leader,  capable  of  leading  &  motivating  individuals  to maximize levels  of  productivity;  a 
customer-centric  professional and  knack  for  motivating  large  work-force  for  exceeding  customer  expectations  in 
delivery of committed services
A  go  getter  who build  teams  from  scratch and managed geographically  distributed teams (internal  as  well  as 
external).
A culturally nuanced person who has worked extensively with people across the globe. ","""SKL""","""Profile Summary"""
"Soft Skills
Motivational Leader
Change Agent Thinker
Collaborator Planner
Communicator","""SKL""","""Soft Skills"""
"IT Skills
Languages/ technologies/Framework: C, VC++, C#, Win 32 API, SOA, Oracle ADF, 
PHP, HTML, CSS
Operating Systems: Solaris, Windows, iOS 
Applications: Siebel, OBIEE, MS Office, Rational Clear 
Case, Visual SourceSafe, MS Project, JIRA
RDBMS: Oracle, MSSQL","""SKL""","""IT Skills"""
SKILL,"""SKL""","""SKILL"""
SOFTWARE DEVELOPMENT DIRECTOR - 9 YEARS EXPERIENCE IN HCMC,"""SKL""",""""""
"STRENGTHS
[Concept and process creation]
Able to share a vision and bring it to realization
[Staff empowerment]
Know how to get the best from Vietnamese staff
[Decision-making]
Analyze data and facts to guide teams efficiently","""SKL""","""STRENGTHS"""
"Technical Skills Programming Languages

C#.NET

JAVA (ANDROID)

JAVA (DESKTOP)

JAVA (WEB)

VB.
Database Languages
 PLSQL
DBMSs
 My SOL
 SQL server 2008-2012.
JAVA IDEs

JDeveloper

Eclipse

NetBeans

Android studio
.NET IDEs

MS-Visual Studio 2008-2010-2012-2013.
Adobe CS

Adobe Photoshop

Adobe After  Effect

Adobe premiere

Adobe dreamweaver

adobe illustrator

adobe indesign","""SKL""","""Technical Skills """
"SUMMARY 
Experienced senior web developer. Focus on Web Front End technology with various Back End technologies
and CMS platforms. Experienced working in multinational companies. ","""SKL""","""SUMMARY """
"PERSONAL PROFILE
A  self-motivated,  highly  determined  and  hard  working individual  with 
numerous   transferable   skills   gained   throughout   universities   and   past 
working  experiences.  A  creative,  punctual  and  keen  to  learn  employee 
with  a  “can  do”  attitude;  an  excellent  problem  solver  with  good  eye  for 
detail,  good  analytical  skills  and  the  flexibility  to  adapt  to  new  working 
environments.","""SKL""","""PERSONAL PROFILE"""
"SKILL PROFILE:
Communication Skill: 
· Excellent  communication  skills  gained  from  giving  presentations 
and  producing  reports  as  part  of  my  degree  courses  and  work 
experiences. This included both written and verbal communication 
skills. 
· Ability   to   communicate   clearly,   effectively   and   to   establish 
relationships with people from different backgrounds and cultures, 
as well as to influence key stakeholders to reach common goals.
Team-working Skill:
· Ability to work effectively in teams consists of people from different 
business background to successfully complete group projects. This 
also required independent thinking and team building skills.
Organising and Time Management Skill:
· Developed  the  ability  to  plan  and  organise  time  to  meet  tight 
deadlines,  prioritise  tasks,  as  well  as  able  to  work  well  under 
pressure to deliver good quality work with high attention to detail.
Analytical and Problem Solving Skill:
· Strong  analytical  skills  which  allow  me  to  analyse  complex  data 
and   identify   key   information,   gained   through   working   as   a 
marketing & sales assistant as well as from my degree courses.
· Mastered  the  ability  to  gather  and  compare  data  from  different 
sources,  as  well  as  being  able  to  draw  clear  conclusion  from 
complex information, gained through carrying out various research 
projects at university and past working experiences.
Leadership Skill:
· Ability to take responsibility and set objectives and action plans for 
the   whole   team;   being   able   to   motivate   others   and   resolve 
conflicts to achieve these objectives despite any obstacles. 
· Successfully led a number of teams to complete group projects as 
part  of  my  degree  courses  and  past  working  experiences.  My 
persuading  and  problem  solving  skills  were  also  utilised  in  order  to 
achieve excellent results. 
Computer Skill:
· Competent   level   of   computing   with   good   understanding   of 
Microsoft  packages  including  Word,  Power  Point  and  Excel,  and 
also a confident and effective Internet user.
Language:
· Fluent in English and Vietnamese; good understanding of Chinese 
Mandarin & Cantonese.","""SKL""","""SKILL PROFILE:"""
"Key Skills 
9 Knowledgeable about Network basic (OSI, TCP/IP). 
9 Cisco configure VLAN, Routing. 
9 Configure, administrate and troubleshoot Windows System (Advanced):  
o    Network Services: File sharing, DNS, Active Directory, IIS Web server, DHCP, VPN, Printer... 
o    Application: Microsoft Office. 
o    Mail Exchange Server (All version) 
o    Office Communication Server - Chat Server  (All version) 
o    Deploy Hyper Server on Win Server 2008 (All Server in One ) 
o    Office Sharepoint Server (all version) 
o    Operating  system:  Windows  NT,  Windows  2000,  Windows  XP,  Vista,  Win7  and  Windows  Server  
(all version). 
o    Sercurity: prevent virus, firewall  ISA Server (all version), packet filter... 
o    Install    software.
o    Backup and restore data.
o    Management SQL database server (All version)","""SKL""","""Key Skills"""
"SKILLS
● Languages: ​experienced ​– C/C++, ​basic​ - Java , Python.
● Good problem – solving and analytic skill with competitive programming
background,  ​proficiency​ with algorithms and data structures.","""SKL""","""SKILLS"""
"STRONG POINT
- 10 years in IT as Software Developer and Business Analysis (BA) position
- Good at developing and analyzing
- Good at Mathematics algorithm
- Good at Database Structure and Data Model","""SKL""","""STRONG POINT"""
"Summary 
I have 7 years 
experience in software development. 
Expert in .NET technology and very strong. Accepts challenges 
and  get  your  goals. Experience  in  building  .NET  client  and  web  connected  applications.  In-depth  knowledge  of  WCF 
Soap/REST.  Familiar  with  XML  and  JSON.  C#. Has  been  working  as  developer  and  technical  architecture  lead  in
Microsoft technologies.
 7 years of experience in C#/ASP/ASP.NET technology.
 Have knowledge in data mining and data analysis.
 Practical experience on Visual Studio IDE 2010 - 2013.
 Have strong knowledge about object oriented analysis and design, .NET programming, finance 
service and retail industry, WCF, web services/WCF Asynchronous,.NET Remoting, Window service, 
Web API, DotNetNuke, Linq To SQL, Linq To XML, Fluent NHibernate, Design Patterns, NoSQL, 
Document base, ElasticSearch.
 Have strong knowledge about Back-end system.
 Have strong knowledge about CustomControl/UserControl Control in ASP.NET, WPF.
 Have strong knowledge about Javascript/jQuery/Ajax/JSON & CSS.
 Have strong skills of problems/conflicts resolve.
 Have strong knowledge about WPF/Silverlight & MVVM Design Patterns and DevExpress – WPF 
controls.","""SKL""","""Summary """
"Technical Skills
Languages & Scripting:  C#, ASP.NET 2.0 – 3.5, 4.0 C++, jQuery/Javascript, XML, XAML, HTML, CSS
Operating Systems: Window 2003/XP/VISTA/Win7
Databases:  SQL SERVER 2005/2008
Web Servers: IIS6/IIS7
Analysis & Design Tools: Microsoft Visio","""SKL""","""Technical Skills"""
"Skills
Software
Hardware
• Matlab, C++, Git
• Linux, Python
• ARM Assembly language
• Visual Studio
• HTML/CSS
• SQL
• Altium, LabView, LTSpice
• Oscilloscopes, multimeters, function generators and hand tools
• Electronics circuits assembly
• Soldering and de-soldering
• Hand and machine tools","""SKL""","""Skills"""
"Skills
Software
Hardware
Experienced with Matlab, C++
Good knowledge of Object Oriented development, Relational Database concepts
Familiar with Linux, Python, MySQL, VHDL, HTML, CSS
Good basics of debugging and algorithms
Worked with data types based on dynamic memory allocation (lists, stacks,
queues)
Adept with Word, Excel, PowerPoint, Visual Studio and Windows
Good knowledge of circuit design and analysis
Proficient in using laboratory equipment such as oscilloscopes, multimeters,
function generators and power supplies
Skilled in Surface Mount Soldering, PCB assembly and analysis
Familiar with FPGA design and simulation using Xilinx and Quartus II
Biomedical Engineering
Basic understanding of Ultrasound, X-ray, CT scan, MRI

1H NMR, IR preparation, and analysis, DNA Electrophoresis","""SKL""","""Skills"""
"FOREIGN  LANGUAGES:
English, level: intermediate","""SKL""","""FOREIGN  LANGUAGES:"""
"OTHER SKILLS:
Time management 
Good plan making and managing skill
Communication & Team-Working skill
Search Information ","""SKL""","""OTHER SKILLS:"""
"COMPUTER SKILLS:
 Programming Languages
 Proficient in: C#, Java
 Familiar with: ASP
 Databases
 Familiar with: SQL server, Access, My SQL, Oracle, PostgreSQL.
 Management  Tools:  SQL  Management,  Microsoft  Access  2003,  2007,  2010, 
MySQL Workbench, PostgreSQL, Oracle.
 Application framework
 Windows Mobile SDK, .NET Framework, ASP.NET, MVC, Java
 Microsoft Windows XP, Vista, 2008, Win 7
 Linux
 Developer Tool
 Microsoft Visual Studio .NET  2008, 2010, 2013, NetBeans, Eclipse IDE, Power 
Designer, SVN, Adobe Dreamweaver CS5, Visual Source Safe 2005
 Office skills
 Microsoft Office
 Microsoft Project
 Microsoft Visio
 Mind Map
 Snag It
 Balsamiq Mockups","""SKL""","""COMPUTER SKILLS:"""
"TECHNICAL PROFICIENCY

Databases: MySQL, Microsoft SQL Server.

Middlewares: Jboss, Tomcat.

Experience in Java : C, Java SE, Java EE, Enterprise Java Bean, Spring MVC, Spring JPA.

Hibernate, Maven 

IDEs: JCreator, NetBeans, Eclipse, Microsoft Visual Studio 2013.

Object Oriented Programming and Software Architecture Development knowledge.

Knowledge  of RUP, Entity  Relation  Diagram  (ERD),  Data  Flow  Diagram  (DFD)  and 
Object-Oriented Analysis and Design (OOAD).

Modeling tools: CASE Studio 2, Astah.

HTML5, CSS3 and JavaScript knowledge.

Ext JS, Bootstrap

Perl script, MS Powershell","""SKL""","""TECHNICAL PROFICIENCY"""
